name,specialization,phone,rating,review_count,address,latitude,longitude,google_place_url,scraped_at
"Al-Raziq Engineers ( Ac Repairing, Maintenance, Services, Installations, In Islamabad )",AC Technician,+923005074403,4.7,,"
Mehboob Plaza، Andron Main Market, Gulzar e Quaid, Rawalpindi, 44000, Pakistan",33.5984116,73.1314891,"https://www.google.com/maps/place/Al-Raziq+Engineers+%28+Ac+Repairing,+Maintenance,+Services,+Installations,+In+Islamabad+%29/data=!4m7!3m6!1s0x38dfec8580b72e85:0x133edf35f51a5799!8m2!3d33.5984116!4d73.1314891!16s%2Fg%2F11nx374gt3!19sChIJhS63gIXs3zgRmVca9TXfPhM?authuser=0&hl=en&rclk=1",2026-05-21T17:11:35.307747
"Azan Hussain Cool Point Air Conditioning – AC Installation, AC Repair & Solar Cleaning | Bahria Town Rawalpindi & Islamabad",AC Technician,+923143278315,5.0,,"
town, Office # LG-08, China Center, Wallayet Complex, Bahria, 7 Phase, Islamabad, 44000, Pakistan",33.5356542,73.1127622,"https://www.google.com/maps/place/Azan+Hussain+Cool+Point+Air+Conditioning+%E2%80%93+AC+Installation,+AC+Repair+%26+Solar+Cleaning+%7C+Bahria+Town+Rawalpindi+%26+Islamabad/data=!4m7!3m6!1s0x38dfedf362988623:0x843c9b53f0459fd0!8m2!3d33.5356542!4d73.1127622!16s%2Fg%2F11x7bgbkyk!19sChIJI4aYYvPt3zgR0J9F8FObPIQ?authuser=0&hl=en&rclk=1",2026-05-21T17:11:39.529019
Arian cooling and electric works,AC Technician,+923444446748,,,"
bunny stop, H13 Golra Rd, Islamabad, 45320, Pakistan",33.6613933,72.9573584,https://www.google.com/maps/place/Arian+cooling+and+electric+works/data=!4m7!3m6!1s0x38df9755526bbd47:0xe8be492f38214bb6!8m2!3d33.6613933!4d72.9573584!16s%2Fg%2F11y2w3klct!19sChIJR71rUlWX3zgRtkshOC9Jvug?authuser=0&hl=en&rclk=1,2026-05-21T17:11:44.085361
Islamabad AC Service & Installation,AC Technician,+923335322024,3.9,,"
559 Street 109, I-8/4 I 8/4 I-8, Islamabad, Pakistan",33.7073309,73.0879802,https://www.google.com/maps/place/Islamabad+AC+Service+%26+Installation/data=!4m7!3m6!1s0x38df957ec2279417:0x9b0e15c3799011c6!8m2!3d33.7073309!4d73.0879802!16s%2Fg%2F11ft135tzb!19sChIJF5Qnwn6V3zgRxhGQecMVDps?authuser=0&hl=en&rclk=1,2026-05-21T17:11:48.940276
Hussain AirCool Center,AC Technician,,1.0,,"
JV48+8F8, Block B Faisal Town, Islamabad, Pakistan",33.6057796,72.8662158,https://www.google.com/maps/place/Hussain+AirCool+Center/data=!4m7!3m6!1s0x38df990055c9eeaf:0xdd44199acec8aef7!8m2!3d33.6057796!4d72.8662158!16s%2Fg%2F11md3vhrl0!19sChIJr-7JVQCZ3zgR967IzpoZRN0?authuser=0&hl=en&rclk=1,2026-05-21T17:11:53.222961
Hammad Electric & Cool Point,AC Technician,+923196805306,4.9,,"
shop #03, Lower ground, Pearl Areena plaza, MR 9, Block D Multi Gardens B-17, commerical, 46000, Pakistan",33.6812558,72.8189451,https://www.google.com/maps/place/Hammad+Electric+%26+Cool+Point/data=!4m7!3m6!1s0x38dfa3bb1aaccd15:0x29ac4eab1eae236d!8m2!3d33.6812558!4d72.8189451!16s%2Fg%2F11sk3qqryw!19sChIJFc2sGruj3zgRbSOuHqtOrCk?authuser=0&hl=en&rclk=1,2026-05-21T17:11:57.689424
Ali Rehman Cool Engineers,AC Technician,+923455280767,5.0,,"
Street 33, G-6/1 G 6/1 G-6, Islamabad, 44000, Pakistan",33.7090078,73.0835949,https://www.google.com/maps/place/Ali+Rehman+Cool+Engineers/data=!4m7!3m6!1s0x38dfbf8bc10954c5:0x8c1ff209a7f398f4!8m2!3d33.7090078!4d73.0835949!16s%2Fg%2F11c605930k!19sChIJxVQJwYu_3zgR9JjzpwnyH4w?authuser=0&hl=en&rclk=1,2026-05-21T17:12:03.993774
Solution Refrigeration,AC Technician,+923483567865,4.6,,"
Abdul Khaliq Plaza, Gali 27, Soan, Block B Gardens, Islamabad, Pakistan",33.5650369,73.149994,https://www.google.com/maps/place/Solution+Refrigeration/data=!4m7!3m6!1s0x252bbac668dfa399:0x900ba189bf10dac4!8m2!3d33.5650369!4d73.149994!16s%2Fg%2F11ldwb84px!19sChIJmaPfaMa6KyURxNoQv4mhC5A?authuser=0&hl=en&rclk=1,2026-05-21T17:12:09.098176
Cooling Master - Reliable Cooling Experts,AC Technician,+923457460352,5.0,,"
AIMS Arcade, D-12 Markaz Branch, Markaz, D 12 Markaz D-12, Islamabad, 44000, Pakistan",33.7014322,72.9498037,https://www.google.com/maps/place/Cooling+Master+-+Reliable+Cooling+Experts/data=!4m7!3m6!1s0x38dfbd29fca800db:0xa575b7228b851086!8m2!3d33.7014322!4d72.9498037!16s%2Fg%2F11ptljqm6n!19sChIJ2wCo_Cm93zgRhhCFiyK3daU?authuser=0&hl=en&rclk=1,2026-05-21T17:12:14.510111
Cool Air Engineering,AC Technician,+923015378060,5.0,,"
Lane 24،, Block A Police Foundation, Islamabad, Pakistan",33.56687,73.1382197,https://www.google.com/maps/place/Cool+Air+Engineering/data=!4m7!3m6!1s0x38dfede3f9b73063:0xa56415c79dcab38f!8m2!3d33.56687!4d73.1382197!16s%2Fg%2F11nyk8fc0c!19sChIJYzC3-ePt3zgRj7PKnccVZKU?authuser=0&hl=en&rclk=1,2026-05-21T17:12:20.666636
AR ELECTRIC COOLING AND MAINTENANCE,AC Technician,+923436188762,5.0,,"
Shop no 10 liaqat market shah Allah dita road merako, F-12, Islamabad, Pakistan",33.6729064,72.975371,https://www.google.com/maps/place/AR+ELECTRIC+COOLING+AND+MAINTENANCE/data=!4m7!3m6!1s0x38dfbd004953f08d:0xf188104a8ad5cb21!8m2!3d33.6729064!4d72.975371!16s%2Fg%2F11ycdj8sxl!19sChIJjfBTSQC93zgRIcvVikoQiPE?authuser=0&hl=en&rclk=1,2026-05-21T17:12:25.486743
Air Conditioning Services.,AC Technician,+923215807530,5.0,,+92 321 5807530,33.7208314,73.0130615,https://www.google.com/maps/place/Air+Conditioning+Services./data=!4m7!3m6!1s0x38df95a68e3120b3:0x325072a14ba77557!8m2!3d33.7208314!4d73.0130615!16s%2Fg%2F11ggt12gbl!19sChIJsyAxjqaV3zgRV3WnS6FyUDI?authuser=0&hl=en&rclk=1,2026-05-21T17:12:31.015271
Shahbaz expert refrigeration,AC Technician,+923121252092,4.9,,"
B, block Gali 27, Soan Gardens Block B Islamabad, 45710, Pakistan",33.5650184,73.149966,https://www.google.com/maps/place/Shahbaz+expert+refrigeration/data=!4m7!3m6!1s0xad015f79ac5c7755:0xd26fd23bf55b8f7d!8m2!3d33.5650184!4d73.149966!16s%2Fg%2F11w1nzx53b!19sChIJVXdcrHlfAa0RfY9b9TvSb9I?authuser=0&hl=en&rclk=1,2026-05-21T17:12:36.279049
Al awan cooling center,AC Technician,+923155241321,4.7,,"
QR4F+P5J, Gangu Bahadur St, Gangu Bahadur, Taxila, Pakistan",33.7568425,72.8228823,https://www.google.com/maps/place/Al+awan+cooling+center/data=!4m7!3m6!1s0x38dfa5fe86c8bfe1:0xc7f51da0b6c7bf73!8m2!3d33.7568425!4d72.8228823!16s%2Fg%2F11sk2tzg68!19sChIJ4b_Ihv6l3zgRc7_HtqAd9cc?authuser=0&hl=en&rclk=1,2026-05-21T17:12:40.304929
Al medina cooling center,AC Technician,+923405206408,5.0,,"
Kahuta, Pakistan",33.5935958,73.3790176,https://www.google.com/maps/place/Al+medina+cooling+center/data=!4m7!3m6!1s0x38dfe30d71e54191:0x995096acbb0ed5f8!8m2!3d33.5935958!4d73.3790176!16s%2Fg%2F11jk2_phj4!19sChIJkUHlcQ3j3zgR-NUOu6yWUJk?authuser=0&hl=en&rclk=1,2026-05-21T17:12:43.865846
Abbasi Brothers Cooling Center,AC Technician,+923015383236,,,"
Lehtrar Rd, Taramri, Islamabad, Pakistan",33.6382954,73.1521914,https://www.google.com/maps/place/Abbasi+Brothers+Cooling+Center/data=!4m7!3m6!1s0x38dfeb7a3eed4c1f:0x81cdefc6b31e59b4!8m2!3d33.6382954!4d73.1521914!16s%2Fg%2F11lgsdxqv3!19sChIJH0ztPnrr3zgRtFkes8bvzYE?authuser=0&hl=en&rclk=1,2026-05-21T17:12:50.320274
malik cooling center,AC Technician,+923335173897,4.0,,"
M2PM+MCF, G-9 Markaz G 9 Markaz G-9, Islamabad, Pakistan",33.6866926,73.033535,https://www.google.com/maps/place/malik+cooling+center/data=!4m7!3m6!1s0x38dfbf8bce6167b1:0xbe128b01de90111f!8m2!3d33.6866926!4d73.033535!16s%2Fg%2F11gw2b9wcm!19sChIJsWdhzou_3zgRHxGQ3gGLEr4?authuser=0&hl=en&rclk=1,2026-05-21T17:12:56.174108
Hammad Heat & Cool services,AC Technician,+923084402441,4.9,,"
Street No. 5, CBR Town Phase I Block C Block C CBR Town, Islamabad, 45710, Pakistan",33.5601376,73.1439892,https://www.google.com/maps/place/Hammad+Heat+%26+Cool+services/data=!4m7!3m6!1s0x22c2913170bce67f:0x269afc2fba393435!8m2!3d33.5601376!4d73.1439892!16s%2Fg%2F11x1pvyn_y!19sChIJf-a8cDGRwiIRNTQ5ui_8miY?authuser=0&hl=en&rclk=1,2026-05-21T17:13:17.592650
Smart FixUp | Top Ac & Fridge services | Automatic Washing machine,AC Technician,+923177959336,4.9,,"
Office No 7,Third floor, Bilal plaza, Potohar Rd, Sector I 9 Markaz I-9, Islamabad, 44000, Pakistan",33.6585387,73.0592918,https://www.google.com/maps/place/Smart+FixUp+%7C+Top+Ac+%26+Fridge+services+%7C+Automatic+Washing+machine/data=!4m7!3m6!1s0x899c1476d3892be9:0xd10b26584bc558cd!8m2!3d33.6585387!4d73.0592918!16s%2Fg%2F11m6l46t87!19sChIJ6SuJ03YUnIkRzVjFS1gmC9E?authuser=0&hl=en&rclk=1,2026-05-21T17:13:25.635372
Shahji Electrical & Plumber Services For Home,Electrician,+923480140672,4.9,,"
130, G-13/4 G 13/4 G-13, Islamabad, 44001, Pakistan",33.6478503,72.9677195,https://www.google.com/maps/place/Shahji+Electrical+%26+Plumber+Services+For+Home/data=!4m7!3m6!1s0x2b41b768bf24b9b5:0xbe00af3fb4c52955!8m2!3d33.6478503!4d72.9677195!16s%2Fg%2F11f6gj1qls!19sChIJtbkkv2i3QSsRVSnFtD-vAL4?authuser=0&hl=en&rclk=1,2026-05-21T17:14:29.670302
Niqash & Hammad electric works,Electrician,+923115399754,4.5,,"
149, G-13/4 G 13/4 G-13, Islamabad, 46000, Pakistan",33.6504221,72.9712634,https://www.google.com/maps/place/Niqash+%26+Hammad+electric+works/data=!4m7!3m6!1s0x38df970815f542e7:0x9b87639d19f2ae8b!8m2!3d33.6504221!4d72.9712634!16s%2Fg%2F11k9rdzchb!19sChIJ50L1FQiX3zgRi67yGZ1jh5s?authuser=0&hl=en&rclk=1,2026-05-21T17:14:34.005877
ELECTROCUTIONER,Electrician,+923035588589,4.9,,"
Shaheen Ground, house#1578 Street 87, Sector I-10/1 I 10/1 I-10, Islamabad, 44000, Pakistan",33.6435128,73.0398207,https://www.google.com/maps/place/ELECTROCUTIONER/data=!4m7!3m6!1s0x38df951f88343c89:0x20b0d55590b491a2!8m2!3d33.6435128!4d73.0398207!16s%2Fg%2F11k3hrgzhm!19sChIJiTw0iB-V3zgRopG0kFXVsCA?authuser=0&hl=en&rclk=1,2026-05-21T17:14:40.227360
Electrical and plambing Services,Electrician,+923017910752,4.9,,"
Street no 3 E 11, Golra E-11, Islamabad, 12090, Pakistan",33.6969282,72.9744107,https://www.google.com/maps/place/Electrical+and+plambing+Services/data=!4m7!3m6!1s0x38dfbd0045a435ed:0x12e9c778ad857186!8m2!3d33.6969282!4d72.9744107!16s%2Fg%2F11vkbg_pbq!19sChIJ7TWkRQC93zgRhnGFrXjH6RI?authuser=0&hl=en&rclk=1,2026-05-21T17:14:44.642977
Kareegar Electric Works,Electrician,+923424405239,5.0,,"
Street 74, G-8/1 G 8/1 G-8, Islamabad, 44000, Pakistan",33.6922809,73.0467529,https://www.google.com/maps/place/Kareegar+Electric+Works/data=!4m7!3m6!1s0x38dfefb04f05dd5f:0xd1bbf78fefd58ab3!8m2!3d33.6922809!4d73.0467529!16s%2Fg%2F11y6ghhszl!19sChIJX90FT7Dv3zgRs4rV74_3u9E?authuser=0&hl=en&rclk=1,2026-05-21T17:14:48.807150
Islamabad plumber Electrical And AC Works,Electrician,+923339608196,4.7,,"
Street 22, G-13/4 G 13/4 G-13, Islamabad, 44220, Pakistan",33.6498963,72.9683932,https://www.google.com/maps/place/Islamabad+plumber+Electrical+And+AC+Works/data=!4m7!3m6!1s0x38df9705e1016947:0x4c5add7913290798!8m2!3d33.6498963!4d72.9683932!16s%2Fg%2F11t0d0pwbh!19sChIJR2kB4QWX3zgRmAcpE3ndWkw?authuser=0&hl=en&rclk=1,2026-05-21T17:14:53.636096
Zahid Electrician Company,Electrician,+923058687183,4.7,,"
shop no 5 ground floor, qadri plaza, Pakistan Town Phase 1 Pakistan Town, Islamabad, Pakistan",33.5761108,73.1433386,https://www.google.com/maps/place/Zahid+Electrician+Company/data=!4m7!3m6!1s0x38dfed3cc09dc5dd:0x8e1f1496a185b154!8m2!3d33.5761108!4d73.1433386!16s%2Fg%2F11ryq3nds_!19sChIJ3cWdwDzt3zgRVLGFoZYUH44?authuser=0&hl=en&rclk=1,2026-05-21T17:14:59.709435
Kamran electrical and technical work,Electrician,+923009786422,4.9,,"
jinnah road, Street No. 10, Bani Gala, Islamabad, 44000, Pakistan",33.7096238,73.1541261,https://www.google.com/maps/place/Kamran+electrical+and+technical+work/data=!4m7!3m6!1s0x38dfc1b8a99ad17d:0xf9aab96bff59084!8m2!3d33.7096238!4d73.1541261!16s%2Fg%2F11g2r05w8_!19sChIJfdGaqbjB3zgRhJD1v5armg8?authuser=0&hl=en&rclk=1,2026-05-21T17:15:04.547648
Electroman,Electrician,+923349065151,5.0,,"
MXFJ+6G2, Unnamed Road, F-12, Islamabad, 44100, Pakistan",33.6730499,72.9811861,https://www.google.com/maps/place/Electroman/data=!4m7!3m6!1s0x38dfbdfe38a7d459:0x5a773332eb1da66a!8m2!3d33.6730499!4d72.9811861!16s%2Fg%2F11lrdchz9l!19sChIJWdSnOP693zgRaqYd6zIzd1o?authuser=0&hl=en&rclk=1,2026-05-21T17:15:09.036461
Uk brothers electrician,Electrician,+923345273150,5.0,,"
&, GT road swan camp Bahria, town, DHA, Islamabad, Pakistan",33.5385789,73.1206071,https://www.google.com/maps/place/Uk+brothers+electrician/data=!4m7!3m6!1s0x38dfed109de29db3:0xd1498bbd6703eb95!8m2!3d33.5385789!4d73.1206071!16s%2Fg%2F11kpgvn3xt!19sChIJs53inRDt3zgRlesDZ72LSdE?authuser=0&hl=en&rclk=1,2026-05-21T17:15:12.823655
Electrician & Home Maintenance,Electrician,+923007802395,4.9,,"
Main Service Golra Rd, G-11-2, G-11, G-11, Islamabad, 44000, Pakistan",33.6711858,72.9851986,https://www.google.com/maps/place/Electrician+%26+Home+Maintenance/data=!4m7!3m6!1s0x38dfbdf8f01e579b:0xb5ce31f5f7442b95!8m2!3d33.6711858!4d72.9851986!16s%2Fg%2F12mkw9w5r!19sChIJm1ce8Pi93zgRlStE9_UxzrU?authuser=0&hl=en&rclk=1,2026-05-21T17:15:19.053710
Asif Service Electrician,Electrician,+923425150899,5.0,,"
1, D 12/1 D-12, Islamabad, Pakistan",33.6919084,72.9451709,https://www.google.com/maps/place/Asif+Service+Electrician/data=!4m7!3m6!1s0x38dfbd92e6532183:0x920d9344c14001b!8m2!3d33.6919084!4d72.9451709!16s%2Fg%2F11js7g28d4!19sChIJgyFT5pK93zgRGwAUTDTZIAk?authuser=0&hl=en&rclk=1,2026-05-21T17:15:23.771010
Electric work,Electrician,+923365000523,4.7,,"
G4QX+F79, Model Town Humak, Islamabad, Pakistan",33.5386527,73.148237,https://www.google.com/maps/place/Electric+work/data=!4m7!3m6!1s0x38dfede9f12e4eb7:0xf4353fb0e94a9ddd!8m2!3d33.5386527!4d73.148237!16s%2Fg%2F11hkb0bg8k!19sChIJt04u8ent3zgR3Z1K6bA_NfQ?authuser=0&hl=en&rclk=1,2026-05-21T17:15:28.995109
Usman Electrician عثمان الیکٹریشن,Electrician,,4.5,,"
MR 9, Multi Gardens E block Multi Gardens B-17, Islamabad, 44000, Pakistan",33.688002,72.8379294,https://www.google.com/maps/place/Usman+Electrician+%D8%B9%D8%AB%D9%85%D8%A7%D9%86+%D8%A7%D9%84%DB%8C%DA%A9%D9%B9%D8%B1%DB%8C%D8%B4%D9%86%E2%80%AD/data=!4m7!3m6!1s0x38dfa3696cd1ed2b:0x94ebaaceee6b10d6!8m2!3d33.688002!4d72.8379294!16s%2Fg%2F11kj027w94!19sChIJK-3RbGmj3zgR1hBr7s6q65Q?authuser=0&hl=en&rclk=1,2026-05-21T17:15:33.316799
Sadiq electration,Electrician,+923461813125,,,"
6, I-8/1 I-8, Islamabad, 44000, Pakistan",33.6617089,73.0667194,https://www.google.com/maps/place/Sadiq+electration/data=!4m7!3m6!1s0x38df95cbf0be4893:0xd8f9b2b27ad21e78!8m2!3d33.6617089!4d73.0667194!16s%2Fg%2F11whrxftm7!19sChIJk0i-8MuV3zgReB7SerKy-dg?authuser=0&hl=en&rclk=1,2026-05-21T17:15:38.307976
Mehran Experts,Electrician,+923000888121,4.9,,"
Office 04, Street 01 St 1, G-12, Islamabad, 44000, Pakistan",33.6498924,72.9750703,https://www.google.com/maps/place/Mehran+Experts/data=!4m7!3m6!1s0x38df97db9586b2c7:0xb3f2506ac7a00549!8m2!3d33.6498924!4d72.9750703!16s%2Fg%2F11fks6gd02!19sChIJx7KGlduX3zgRSQWgx2pQ8rM?authuser=0&hl=en&rclk=1,2026-05-21T17:17:17.610156
Usman Electric & Hardware Store | AC Service and Technician | Plumber & Home Wiring | Islamabad,Electrician,+923009764586,5.0,,"
E11, Shop # 5 ASLAM BUSINESS SQUARE, E 11/2 MARKAZ, Basement, 2 Markaz E11, F.E.C.H.S. FECHS E 11/2 E-11, Islamabad, 44810, Pakistan",33.6981233,72.9715407,https://www.google.com/maps/place/Usman+Electric+%26+Hardware+Store+%7C+AC+Service+and+Technician+%7C+Plumber+%26+Home+Wiring+%7C+Islamabad/data=!4m7!3m6!1s0x38dfbdf26dc26003:0xae45415a064a1f82!8m2!3d33.6981233!4d72.9715407!16s%2Fg%2F11s5sbg5vv!19sChIJA2DCbfK93zgRgh9KBlpBRa4?authuser=0&hl=en&rclk=1,2026-05-21T17:17:41.098118
Fast Maintenance Srvices,Electrician,+923365741842,4.0,,"
Office # 43 Mian heights, Soan Gardens Block H Ghauri Town, Islamabad, 44000, Pakistan",33.6239298,73.1466242,https://www.google.com/maps/place/Fast+Maintenance+Srvices/data=!4m7!3m6!1s0x38dfebb8b4b30677:0x26cd1be70c07318e!8m2!3d33.6239298!4d73.1466242!16s%2Fg%2F11q8jvhl7j!19sChIJdwaztLjr3zgRjjEHDOcbzSY?authuser=0&hl=en&rclk=1,2026-05-21T17:17:47.362186
Pak Electrick,Electrician,+923465083423,4.0,,"
F-10/2 Street 10, F-10/2 F 10/2 F-10, Islamabad, Pakistan",33.690819,72.99953,https://www.google.com/maps/place/Pak+Electrick/data=!4m7!3m6!1s0x38dfbf90ed355767:0xab60226893a7a332!8m2!3d33.690819!4d72.99953!16s%2Fg%2F11lrgjr3n5!19sChIJZ1c17ZC_3zgRMqOnk2giYKs?authuser=0&hl=en&rclk=1,2026-05-21T17:17:52.305225
Roshan Electric & Electronics,Electrician,+923305740768,5.0,,"
SHOP NO 5,Ground floor. Khyber Plaza 2, Sector. G15.Markaz G 15 Markaz G-15, Islamabad, Pakistan",33.6327969,72.9243271,https://www.google.com/maps/place/Roshan+Electric+%26+Electronics/data=!4m7!3m6!1s0x38dfed830bb6a895:0xcff37256be205861!8m2!3d33.6327969!4d72.9243271!16s%2Fg%2F11rn029cp3!19sChIJlai2C4Pt3zgRYVggvlZy888?authuser=0&hl=en&rclk=1,2026-05-21T17:17:57.508781
Al hafeez electric sanitary hardware Ac fitting Ac gas charging Air conditioning and Ac parts store,Electrician,+923426100500,4.9,,"
E, Basement Shop No 01 , Deen Arcade, 11/2, near the Bank of punjab, markaz FECHS E 11/2 E-11, 44000, Pakistan",33.6979193,72.9710078,https://www.google.com/maps/place/Al+hafeez+electric+sanitary+hardware+Ac+fitting+Ac+gas+charging+Air+conditioning+and+Ac+parts+store/data=!4m7!3m6!1s0x38dfbf6d4a9203ad:0xc3f53f9bfc391d7d!8m2!3d33.6979193!4d72.9710078!16s%2Fg%2F11k_k28m6y!19sChIJrQOSSm2_3zgRfR05_Js_9cM?authuser=0&hl=en&rclk=1,2026-05-21T17:18:02.578685
Pakistan cool&electric works,Electrician,+923401018560,4.8,,"
Street 5, F-11, Islamabad, Pakistan",33.6751575,72.9822138,https://www.google.com/maps/place/Pakistan+cool%26electric+works/data=!4m7!3m6!1s0x38dfbde3b79ebce1:0x3121aed00405c294!8m2!3d33.6751575!4d72.9822138!16s%2Fg%2F11szdxqgvd!19sChIJ4byet-O93zgRlMIFBNCuITE?authuser=0&hl=en&rclk=1,2026-05-21T17:18:11.345744
Saif Electrician,Electrician,+923336182150,4.8,,"
Shop#G2, Triple One A Plaza, Road, 33.563237 73.133833, near Bahria Phase 6, Block A Police Foundation, Rawalpindi, 46620, Pakistan",33.5632237,73.1338365,https://www.google.com/maps/place/Saif+Electrician/data=!4m7!3m6!1s0x38dfedd9b52abb85:0x96133b17c53ff8bb!8m2!3d33.5632237!4d73.1338365!16s%2Fg%2F11ptffrndg!19sChIJhbsqtdnt3zgRu_g_xRc7E5Y?authuser=0&hl=en&rclk=1,2026-05-21T17:18:17.145250
